Post Date,10,2014,2025,2030,2050,able,action,add,age,akin,andy,ask,auto,automatically,aware,away,bad,based,beautiful,best,bet,better,body,box,brain,build,button,buttons,callback,callbacks,called,cause,change,changes,clarify,clear,click,cognicism,cognicist,cognicists,cognitive,collection,collective,college,color,com,come,comes,comments,common,community,concept,concepts,conscious,consciousness,content,context,contexts,control,create,currency,current,currently,data,day,deep,default,define,did,different,disagree,does,don,downsample,dream,dreams,earn,earns,easy,echo,economics,end,energy,entangle,equal,equivalent,exist,experiments,explore,express,FALSE,far,feature,features,flood,flow,foresight,forethought,form,formal,free,future,good,goodness,google,got,great,greater,hanners,help,helps,home,http,https,human,humans,hypothesis,idea,ideas,ideation,images,important,individual,individuals,information,intelligence,interesting,jargon,just,ken,know,knowing,knowledge,lack,land,language,large,larger,later,lead,learn,learning,lenr,let,level,life,lifeos,light,like,link,linked,little,live,living,ll,local,log,long,longer,look,lookup,loss,lost,lot,love,lucid,machine,main,majority,make,makes,matt,maybe,mean,meaning,means,memory,mental,metaphor,metaphorgy,metaphors,mimi,mind,minds,modern,moment,multiple,necessary,need,needs,neural,new,novel,objective,observer,old,ones,page,palace,past,patch615,path,patrick,people,perceive,permanence,person,personal,perspective,phrase,physical,place,post,posts,potential,predict,prediction,predictions,predictive,present,previous,private,process,produce,production,programming,prophet,prove,public,question,questions,rate,rating,read,reality,really,reason,recognize,record,reflect,reflecting,reflection,reflections,reggie,related,relative,religion,repeat,represent,representations,right,righteous,river,rivers,say,science,search,seek,self,sense,sentence,set,shit,shore,similar,simple,single,site,snappywords,social,solid,source,speak,speaking,speaks,start,state,statement,statements,story,stream,streams,structure,subjective,success,takes,text,thing,things,think,thinking,thought,thoughts,thy,time,times,today,tomorrow,tool,tree,triggers,TRUE,truth,truths,try,type,ui,understand,understanding,use,used,useful,user,users,using,value,ve,vectors,verifiable,version,view,vision,visual,voice,vs,want,watch,water,waters,watts,wave,waves,way,ways,whos,widget,wikipedia,william,wisdom,wise,won,word,words,work,working,world,write,www,years
8/1/14,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,3,0,0,0,0,1,0,4,2,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,2,0,1,1,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8/2/14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,4,1,0,1,0,0,0,0,0,1,1,2,1,1,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,0,6,0,0,0,0,2,0,0,0,1,1,0,2,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,3,0,1,0,1,0,5,2,0,0,0,0,0,3,0,0,0,2,1,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,6,0,1,0,0,1,5,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,7,10,0,2,0,0,0,0,0,0,2,20,4,1,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,1,0,0,0,0,0,2,0,1,0,0,1,0
8/3/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
8/4/14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,1,0,0,0,0,0,1,1,23,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0
8/5/14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8/6/14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
8/7/14,0,1,0,0,0,1,0,2,0,0,2,5,2,1,0,0,0,0,0,2,0,2,1,0,0,0,1,1,0,2,0,0,1,1,1,3,2,0,0,0,1,0,0,0,1,12,0,0,2,0,0,4,0,1,4,0,6,3,0,0,0,2,1,2,1,0,0,1,1,2,0,5,3,3,0,0,1,0,1,5,1,1,0,1,1,1,0,0,0,1,0,0,1,0,3,1,0,0,0,0,0,1,8,0,1,1,0,0,0,2,2,0,12,0,1,0,3,7,4,1,0,1,0,1,0,0,1,1,2,6,1,0,10,0,0,0,1,2,1,0,2,1,0,2,0,1,0,0,4,2,0,2,0,0,0,0,1,1,1,1,9,1,2,0,0,0,0,0,0,3,2,0,3,0,7,7,0,1,0,0,0,1,12,1,0,0,0,0,1,1,1,2,0,1,0,0,1,1,0,3,0,0,7,1,1,0,1,0,0,0,0,1,0,0,2,2,2,2,1,0,1,1,2,0,0,0,29,0,0,0,2,3,3,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,5,11,1,0,0,2,0,1,0,4,0,0,0,11,2,0,1,0,0,0,3,3,3,2,21,15,0,4,0,1,0,3,6,3,3,11,0,0,0,1,1,2,1,2,3,3,2,0,0,4,0,0,0,0,1,1,0,1,1,0,2,2,0,2,0,5,0,0,1,0,0,0,0,0,3,2,0,1,0,0,12,0
8/8/14,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2,0,1,1,0,1,0,1,0,0,0,2,0,0,2,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,1,0,0,0,0,4,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,1,1,0,1,0,0,0,3,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
8/9/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8/10/14,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,3,0,1,2,1,0,0,0,0,0,0,1,1,0,2,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,1,1,3,0,1,1,1,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,0,3,0,5,0,2,0,0,0,3,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,1,0,0,0,1,1,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,2,0,3,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,2,0,4,10,2,3,1,0,0,1,0,0,1,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
