Word, Count
like,38
prophet,35
thought,29
think,28
good,27
people,27
just,26
better,25
job,24
predictions,22
make,22
life,20
ones,19
use,17
social,16
love,16
don,16
time,16
important,15
want,15
increase,15
feel,14
state,14
things,14
demosthenes,14
work,13
feature,13
does,13
different,13
mental,12
birthday,12
health,12
way,12
best,12
interaction,12
cognicism,12
women,12
objective,11
current,11
commandment,10
new,10
thoughts,10
doesn,10
mind,10
self,10
general,10
useful,10
2030,10
matt,10
greater,9
bad,9
based,9
home,9
used,9
2020,9
care,9
2035,8
statements,8
lack,8
california,8
context,8
know,8
pay,8
predict,8
states,8
similar,8
doubt,8
sort,8
years,8
going,8
sex,8
rates,8
children,8
relationship,7
right,7
features,7
real,7
evidence,7
lobby,7
hobby,7
great,7
users,7
decision,7
degree,7
date,7
actually,7
experience,7
feels,7
ask,7
come,6
information,6
rate,6
stream,6
employees,6
ve,6
end,6
money,6
correlated,6
related,6
hours,6
help,6
possible,6
example,6
using,6
TRUE,6
effect,6
having,6
goal,6
caring,6
felt,6
really,6
working,6
thing,6
terms,6
sleep,6
big,6
makes,6
effects,6
2016,6
ability,6
currently,6
meaning,6
consciousness,6
brynn,6
reflection,5
model,5
parts,5
crisis,5
say,5
bullshit,5
dating,5
comment,5
making,5
actual,5
global,5
able,5
patrick,5
ai,5
directly,5
economics,5
streams,5
community,5
emotions,5
beliefs,5
emotional,5
personal,5
society,5
logging,5
individual,5
kind,5
belief,5
interesting,5
look,5
2040,5
doing,5
2050,5
culture,5
strong,5
future,5
tomorrow,5
lead,5
girl,5
indicator,5
cool,5
probably,5
place,5
