Ask,NULL,date,Predict,State
0,1,6/24/14,0,0
0,6,6/25/14,0,0
0,3,6/26/14,0,0
0,12,6/27/14,0,0
0,3,6/28/14,0,0
0,2,6/29/14,0,0
0,5,6/30/14,0,0
0,45,7/1/14,0,0
0,3,7/2/14,0,0
0,4,7/3/14,0,0
0,1,7/5/14,0,0
0,3,7/7/14,0,0
0,3,7/8/14,0,0
0,2,7/9/14,0,0
0,14,7/10/14,0,0
0,34,7/11/14,0,0
0,3,7/14/14,0,0
0,67,7/16/14,0,0
0,25,7/17/14,0,0
0,7,7/18/14,0,0
0,6,7/19/14,0,0
0,38,7/20/14,0,0
0,2,7/21/14,0,0
0,19,7/22/14,0,0
0,12,7/23/14,0,0
0,13,7/24/14,0,0
0,13,7/25/14,0,0
0,54,7/26/14,0,0
0,60,7/27/14,0,0
0,3,7/28/14,0,0
0,28,7/29/14,0,10
6,0,7/30/14,0,86
3,0,7/31/14,4,46
1,0,8/1/14,3,26
14,0,8/2/14,4,65
1,0,8/3/14,3,21
3,0,8/4/14,3,39
2,0,8/5/14,1,7
5,0,8/6/14,5,26
34,0,8/7/14,9,134
3,0,8/8/14,13,34
2,0,8/9/14,1,20
6,0,8/10/14,3,76
19,0,8/11/14,3,116
4,0,8/12/14,2,80
3,0,8/13/14,0,11
3,0,8/14/14,0,4
15,0,8/15/14,4,52
0,0,8/16/14,4,1
0,0,8/17/14,0,15
